sub,month,total,interrupt,proportion,dur_total,dur_mean
4,5,34,2,0.058823529411764705,0.5642500000000155,0.28212500000000773
6,5,12,0,0.0,0.0,
10,5,35,1,0.02857142857142857,0.5253760000000511,0.5253760000000511
11,5,26,3,0.11538461538461539,0.8588070000000521,0.28626900000001737
27,5,49,4,0.08163265306122448,1.6992499999998785,0.4248124999999696
28,5,8,0,0.0,0.0,
43,5,29,0,0.0,0.0,
47,5,11,0,0.0,0.0,
48,5,6,0,0.0,0.0,
53,5,24,2,0.08333333333333333,2.090708999999947,1.0453544999999735
59,5,24,5,0.20833333333333334,2.7800529999999526,0.5560105999999905
64,5,29,1,0.034482758620689655,0.32630600000004506,0.32630600000004506
71,5,120,5,0.041666666666666664,1.7389160000001027,0.34778320000002055
72,5,17,0,0.0,0.0,
74,5,20,1,0.05,0.3955139999999915,0.3955139999999915
75,5,23,1,0.043478260869565216,0.11266200000000026,0.11266200000000026
85,5,12,0,0.0,0.0,
87,5,113,5,0.04424778761061947,2.4978290000000243,0.49956580000000483
94,5,43,3,0.06976744186046512,5.95742400000006,1.98580800000002
96,5,45,1,0.022222222222222223,0.3266609999999446,0.3266609999999446
97,5,11,2,0.18181818181818182,1.2553290000000743,0.6276645000000372
99,5,57,4,0.07017543859649122,3.1405950000000757,0.7851487500000189
101,5,76,4,0.05263157894736842,0.3206540000000473,0.08016350000001182
105,5,37,2,0.05405405405405406,7.006672999999978,3.503336499999989
106,5,50,6,0.12,3.9289810000000784,0.6548301666666797
113,5,74,8,0.10810810810810811,21.068565999999983,2.633570749999998
118,5,108,3,0.027777777777777776,1.3609850000000279,0.45366166666667596
4,10,205,2,0.00975609756097561,0.6923920000000408,0.3461960000000204
6,10,183,3,0.01639344262295082,1.7615900000000693,0.5871966666666898
10,10,84,1,0.011904761904761904,0.32744800000000396,0.32744800000000396
11,10,126,5,0.03968253968253968,1.472266999999988,0.2944533999999976
27,10,63,3,0.047619047619047616,0.2192969999999832,0.0730989999999944
28,10,147,0,0.0,0.0,
43,10,75,0,0.0,0.0,
47,10,119,2,0.01680672268907563,3.6693729999999505,1.8346864999999752
48,10,97,0,0.0,0.0,
53,10,90,12,0.13333333333333333,6.750574999999685,0.5625479166666404
59,10,90,4,0.044444444444444446,2.884025999999835,0.7210064999999588
64,10,98,1,0.01020408163265306,0.6509320000000116,0.6509320000000116
71,10,199,1,0.005025125628140704,0.011365999999952692,0.011365999999952692
72,10,97,0,0.0,0.0,
74,10,97,1,0.010309278350515464,0.15783299999998235,0.15783299999998235
75,10,30,4,0.13333333333333333,1.797010000000114,0.4492525000000285
85,10,80,2,0.025,0.3526120000000219,0.17630600000001095
87,10,44,0,0.0,0.0,
94,10,62,2,0.03225806451612903,0.5075250000001006,0.2537625000000503
96,10,77,6,0.07792207792207792,0.9494929999999613,0.15824883333332687
97,10,25,0,0.0,0.0,
99,10,57,4,0.07017543859649122,3.1994369999998753,0.7998592499999688
101,10,55,4,0.07272727272727272,1.227226000000087,0.30680650000002174
105,10,75,2,0.02666666666666667,0.547362000000021,0.2736810000000105
106,10,173,1,0.005780346820809248,0.3051970000001347,0.3051970000001347
113,10,80,2,0.025,0.2164070000000038,0.1082035000000019
118,10,27,0,0.0,0.0,
