sub,month,total,interrupt,proportion,dur_total,dur_mean
4,5,34,11,0.3235294117647059,7.6904130000000634,0.6991284545454604
6,5,12,5,0.4166666666666667,1.3166069999999763,0.26332139999999526
10,5,35,6,0.17142857142857143,3.827574000000027,0.6379290000000045
11,5,26,11,0.4230769230769231,4.939596000000048,0.4490541818181862
27,5,49,9,0.1836734693877551,2.3613429999999553,0.2623714444444395
28,5,8,1,0.125,0.5180000000000291,0.5180000000000291
43,5,29,5,0.1724137931034483,2.0330230000000142,0.40660460000000287
47,5,11,4,0.36363636363636365,3.6095149999999876,0.9023787499999969
48,5,6,3,0.5,1.0599999999999454,0.3533333333333151
53,5,24,10,0.4166666666666667,7.830708999999899,0.7830708999999899
59,5,24,9,0.375,3.019297999999992,0.3354775555555547
64,5,29,4,0.13793103448275862,1.2966270000001714,0.32415675000004285
71,5,120,67,0.5583333333333333,38.23319300000004,0.5706446716417917
72,5,17,3,0.17647058823529413,1.205412000000024,0.401804000000008
74,5,20,2,0.1,0.6555140000000392,0.3277570000000196
75,5,23,11,0.4782608695652174,3.681937999999974,0.334721636363634
85,5,12,1,0.08333333333333333,0.29999999999998295,0.29999999999998295
87,5,113,40,0.35398230088495575,27.41562499999992,0.685390624999998
94,5,43,7,0.16279069767441862,6.805173000000082,0.9721675714285831
96,5,45,21,0.4666666666666667,24.35666100000006,1.1598410000000028
97,5,11,5,0.45454545454545453,1.9299840000000756,0.38599680000001513
99,5,57,19,0.3333333333333333,12.026149999999888,0.6329552631578889
101,5,76,34,0.4473684210526316,14.633003000000343,0.43038244117648067
105,5,37,9,0.24324324324324326,8.25772299999992,0.917524777777769
106,5,50,27,0.54,18.020894000000055,0.6674405185185206
113,5,74,27,0.36486486486486486,29.98195599999989,1.1104428148148107
118,5,108,38,0.35185185185185186,14.00498000000007,0.36855210526315973
4,10,205,6,0.02926829268292683,1.6883920000001353,0.2813986666666892
6,10,183,40,0.2185792349726776,23.654794999999808,0.5913698749999952
10,10,84,4,0.047619047619047616,1.037890000000175,0.25947250000004374
11,10,126,13,0.10317460317460317,4.47344299999952,0.3441109999999631
27,10,63,27,0.42857142857142855,10.937140999999542,0.4050792962962793
28,10,147,2,0.013605442176870748,1.099999999999909,0.5499999999999545
43,10,75,17,0.22666666666666666,4.27292300000056,0.2513484117647388
47,10,119,12,0.10084033613445378,5.34610999999984,0.4455091666666533
48,10,97,22,0.2268041237113402,8.913004,0.40513654545454547
53,10,90,21,0.23333333333333334,10.675508999999352,0.5083575714285405
59,10,90,19,0.2111111111111111,7.420687999999586,0.3905625263157677
64,10,98,8,0.08163265306122448,4.429932000000008,0.553741500000001
71,10,199,16,0.08040201005025126,6.702000000000453,0.4188750000000283
72,10,97,1,0.010309278350515464,0.5364260000001195,0.5364260000001195
74,10,97,10,0.10309278350515463,3.6662869999998975,0.36662869999998976
75,10,30,9,0.3,6.022010000000023,0.6691122222222248
85,10,80,7,0.0875,4.278932999999938,0.611276142857134
87,10,44,4,0.09090909090909091,2.6800000000001774,0.6700000000000443
94,10,62,5,0.08064516129032258,1.5375250000000733,0.3075050000000147
96,10,77,11,0.14285714285714285,2.042431999999849,0.1856756363636226
97,10,25,1,0.04,0.2999999999999545,0.2999999999999545
99,10,57,18,0.3157894736842105,11.531963999999675,0.6406646666666487
101,10,55,8,0.14545454545454545,5.139442000000372,0.6424302500000465
105,10,75,7,0.09333333333333334,2.65118700000005,0.37874100000000716
106,10,173,17,0.09826589595375723,5.855543999999782,0.3444437647058695
113,10,80,16,0.2,7.856483000000253,0.4910301875000158
118,10,27,4,0.14814814814814814,1.759999999999991,0.4399999999999977
